iter	Logloss
0	0.5706455997
1	0.4791772808
2	0.4255567219
3	0.383719133
4	0.3539237237
5	0.3304892827
6	0.3146938183
7	0.3024998952
8	0.2892168065
9	0.2791007437
10	0.2713770828
11	0.2652117951
12	0.2592696142
13	0.2529135817
14	0.2485453877
15	0.2438067502
16	0.240733739
17	0.2387203427
18	0.2352570732
19	0.2316199888
20	0.2286757462
21	0.2259409061
22	0.2245371264
23	0.2231775751
24	0.2213651767
25	0.2199699253
26	0.2178963717
27	0.2161477758
28	0.2149901182
29	0.2137283354
30	0.2127823072
31	0.2112757979
32	0.2100476766
33	0.2090303849
34	0.2079065502
35	0.2072161801
36	0.206186028
37	0.205214627
38	0.2045689914
39	0.2032352893
40	0.2022508989
41	0.2011276988
42	0.2006734226
43	0.2001401072
44	0.199613795
45	0.1989541633
46	0.1984536279
47	0.1978237423
48	0.1969325151
49	0.1964607572
50	0.19579606
51	0.1951922139
52	0.1947004222
53	0.1943096063
54	0.1938654722
55	0.193191972
56	0.1922097782
57	0.1915566467
58	0.1911025666
59	0.1906494455
60	0.1903075026
61	0.1900311682
62	0.189478677
63	0.1890480819
64	0.1885591398
65	0.1882152562
66	0.1879988308
67	0.1876292394
68	0.1872115911
69	0.1869003753
70	0.1864714588
71	0.1862636063
72	0.1859020766
73	0.1854922354
74	0.1851315927
75	0.1847567524
76	0.1843935433
77	0.1841279349
78	0.1838334735
79	0.1836280745
80	0.1834004758
81	0.1831951944
82	0.1830129769
83	0.1827840791
84	0.1825481964
85	0.1822047758
86	0.1819853991
87	0.1817159294
88	0.1814438263
89	0.1811200072
90	0.1808662149
91	0.1804961463
92	0.1802534966
93	0.1801185436
94	0.1797542487
95	0.1795402529
96	0.1791645553
97	0.1790185923
98	0.1788607932
99	0.1786952751
100	0.1783790668
101	0.1781126985
102	0.1779652451
103	0.1777032323
104	0.1774084935
105	0.177178054
106	0.1768890468
107	0.1767087775
108	0.176548627
109	0.1763693306
110	0.1761513891
111	0.1759767105
112	0.1758103332
113	0.1754475828
114	0.1751605369
115	0.1749210966
116	0.1746701356
117	0.1745072407
118	0.1743531041
119	0.1741090476
120	0.173797721
121	0.1736472663
122	0.1734756764
123	0.1733251103
124	0.1731168181
125	0.1728690285
126	0.1726370611
127	0.1724893388
128	0.1723094451
129	0.1720578532
130	0.1719526471
131	0.171834177
132	0.1716602617
133	0.1714319882
134	0.1711746961
135	0.1709569705
136	0.1708377142
137	0.1705765931
138	0.1704862442
139	0.170318042
140	0.1701593998
141	0.1699626571
142	0.1697841642
143	0.1696298695
144	0.1693826716
145	0.1692402137
146	0.1690774261
147	0.1689870035
148	0.168829553
149	0.16866345
150	0.1685712082
151	0.1684429557
152	0.168311736
153	0.168217227
154	0.1681394563
155	0.1679658702
156	0.1678173711
157	0.1676964805
158	0.167553264
159	0.1674194577
160	0.1673444535
161	0.1671894285
162	0.1670349922
163	0.1669307844
164	0.1667935549
165	0.1667102503
166	0.1666116286
167	0.1664964806
168	0.1663709999
169	0.1662933653
170	0.166195313
171	0.1660770929
172	0.1659331754
173	0.1658489785
174	0.1657244005
175	0.1656095807
176	0.1655141183
177	0.1653887278
178	0.1652607805
179	0.1650507362
180	0.1648963217
181	0.1648151274
182	0.1646750932
183	0.1645387519
184	0.1644590962
185	0.1643249373
186	0.164241013
187	0.1641644704
188	0.1639946378
189	0.1638478668
190	0.1637742361
191	0.1636542425
192	0.1635207553
193	0.1634233301
194	0.1633650106
195	0.1632202834
196	0.1631129028
197	0.1630188692
198	0.1629619101
199	0.1628256366
200	0.1627723386
201	0.1626183242
202	0.1625094606
203	0.1624148691
204	0.1622857962
205	0.1622073735
206	0.1621121491
207	0.1620253047
208	0.1619685843
209	0.1618695565
210	0.1618075257
211	0.1616947089
212	0.1616056967
213	0.1615370273
214	0.161466233
215	0.1613550902
216	0.1612828051
217	0.1611879929
218	0.1610775585
219	0.1610180519
220	0.160930333
221	0.1608225377
222	0.1607495738
223	0.1606962121
224	0.1606160642
225	0.1605690945
226	0.1605014256
227	0.1604482054
228	0.1603858194
229	0.1602398658
230	0.1601598975
231	0.16006887
232	0.1599738832
233	0.1598958682
234	0.1598460982
235	0.1597656158
236	0.1596359752
237	0.1595699186
238	0.1595095442
239	0.1594438113
240	0.1593949423
241	0.1592984799
242	0.1591898573
243	0.1591335723
244	0.1590912079
245	0.159008956
246	0.1589145558
247	0.1588308622
248	0.1587883081
249	0.1587039721
250	0.1586302089
251	0.15855677
252	0.158461959
253	0.1583577955
254	0.1583035109
255	0.1582350908
256	0.1581653092
257	0.1581106085
258	0.1580344934
259	0.1579823594
260	0.1579327051
261	0.1578759147
262	0.1578133968
263	0.157783676
264	0.1577210249
265	0.1576002897
266	0.1574804725
267	0.1574165724
268	0.157337727
269	0.1572770807
270	0.1571881294
271	0.1571282754
272	0.1570599629
273	0.1570249408
274	0.1569490285
275	0.1568867222
276	0.156816145
277	0.1567313287
278	0.1566823998
279	0.1566126525
280	0.1565739151
281	0.1565245494
282	0.1564463269
283	0.1563881342
284	0.1563377106
285	0.1562742007
286	0.1562038262
287	0.1561389342
288	0.156088807
289	0.156042559
290	0.1560040818
291	0.1559567308
292	0.1558981964
293	0.1558439693
294	0.1557765873
295	0.1557094563
296	0.1556732991
297	0.1556097709
298	0.1555566675
299	0.1554804847
300	0.1554414798
301	0.1553992355
302	0.1553020079
303	0.155253517
304	0.1552060201
305	0.1551405507
306	0.1550851011
307	0.1550340427
308	0.1550019841
309	0.1549547495
310	0.1549163882
311	0.1548686966
312	0.1548119204
313	0.1547731185
314	0.1546957106
315	0.1546297899
316	0.1545985241
317	0.1545377306
318	0.1545031658
319	0.1544441043
320	0.1543755447
321	0.1543269388
322	0.1542947112
323	0.1542564468
324	0.1542166268
325	0.1541765369
326	0.1541359165
327	0.1541030774
328	0.1540622243
329	0.1540228015
330	0.1539592893
331	0.1539113798
332	0.1538843973
333	0.1538106154
334	0.1537557527
335	0.1537193332
336	0.1536706677
337	0.153646227
338	0.1536155669
339	0.1535549402
340	0.1535243362
341	0.1534828961
342	0.1534368952
343	0.1534028062
344	0.1533743246
345	0.1533302473
346	0.1532919028
347	0.1532219767
348	0.1531640046
349	0.1531198792
350	0.1530700805
351	0.1530291167
352	0.1530021575
353	0.152973505
354	0.1529358029
355	0.1528828883
356	0.1528072947
357	0.152767717
358	0.1527256646
359	0.1526496382
360	0.1526120879
361	0.1525838596
362	0.1525414078
363	0.1524953622
364	0.1524434244
365	0.1523739442
366	0.1523433192
367	0.1522980256
368	0.1522498375
369	0.1522173763
370	0.1521415043
371	0.1520794226
372	0.1520375862
373	0.1520044767
374	0.1519620273
375	0.1519129116
376	0.1518783309
377	0.1518100424
378	0.1517503803
379	0.151698229
380	0.1516654002
381	0.1516200216
382	0.1515708017
383	0.1515335892
384	0.1515113613
385	0.1514651426
386	0.1514333713
387	0.1513916138
388	0.1513454306
389	0.1512970108
390	0.1512430208
391	0.1511837844
392	0.1511629479
393	0.1511280646
394	0.1510951585
395	0.151065578
396	0.1510277557
397	0.1509696213
398	0.1509018511
399	0.1508504642
400	0.1508289809
401	0.1507957808
402	0.1507653982
403	0.1507406143
404	0.1507008409
405	0.1506708618
406	0.1506264368
407	0.1505758288
408	0.1505274468
409	0.150475124
410	0.1504461085
411	0.1504218778
412	0.1504009153
413	0.1503575902
414	0.1503221323
415	0.1502697012
416	0.1502255301
417	0.1501839119
418	0.1501632412
419	0.1501385858
420	0.1500930185
421	0.1500058723
422	0.1499784112
423	0.1499138139
424	0.1498799109
425	0.1498592549
426	0.1498248227
427	0.1497968169
428	0.1497598327
429	0.149702248
430	0.1496744141
431	0.1496300357
432	0.149579607
433	0.1495522041
434	0.1495013792
435	0.1494538779
436	0.1493951254
437	0.1493720539
438	0.1493272205
439	0.1492986889
440	0.1492673268
441	0.1492410751
442	0.1492069781
443	0.1491553171
444	0.1491223986
445	0.1490978133
446	0.1490535939
447	0.1489856196
448	0.1489540909
449	0.1489086642
450	0.1488689138
451	0.148840747
452	0.1487980324
453	0.1487677393
454	0.1487180418
455	0.1486696106
456	0.1486393915
457	0.1486114718
458	0.1485728541
459	0.1485384311
460	0.1485113507
461	0.1484778471
462	0.1484469824
463	0.1484140143
464	0.1483704835
465	0.1483284362
466	0.1482926218
467	0.1482553441
468	0.1482201305
469	0.1481723575
470	0.1481396566
471	0.1480796133
472	0.1480479236
473	0.1479996232
474	0.1479821938
475	0.1479634529
476	0.1479255445
477	0.1478896201
478	0.1478657247
479	0.1478393085
480	0.1478168852
481	0.1477839123
482	0.1477611136
483	0.1477295463
484	0.147692961
485	0.1476620806
486	0.1476200274
487	0.1475881983
488	0.1475560403
489	0.1475309317
490	0.1475117611
491	0.1474677982
492	0.1474479569
493	0.1474300286
494	0.1473867302
495	0.1473461697
496	0.1473173529
497	0.1472866048
498	0.1472592096
499	0.1472138515
500	0.1471906958
501	0.1471646324
502	0.1471445082
503	0.1471194044
504	0.1470773491
505	0.1470572822
506	0.1470133365
507	0.1469705889
508	0.1469306914
509	0.1468972582
510	0.1468584083
511	0.1468307353
512	0.1467815708
513	0.1467565816
514	0.1467119884
515	0.1466833173
516	0.1466629068
517	0.1465995743
518	0.1465649561
519	0.1465134563
520	0.1464933134
521	0.1464584489
522	0.1464352327
523	0.146400719
524	0.1463816815
525	0.1463539864
526	0.1463361483
527	0.1463113603
528	0.1462768563
529	0.1462583651
530	0.1462374266
531	0.1462139173
532	0.1461836254
533	0.1461724065
534	0.1461526102
535	0.1461380026
536	0.1461253412
537	0.1461027038
538	0.146064247
539	0.1460392863
540	0.1459965126
541	0.145961419
542	0.1459258966
543	0.1458830717
544	0.1458473853
545	0.1458219835
546	0.1457881364
547	0.1457573116
548	0.145723968
549	0.1456964462
550	0.1456817993
551	0.1456425661
552	0.1456231014
553	0.1456001044
554	0.1455652541
555	0.1455382723
556	0.1454997884
557	0.145461644
558	0.1454479888
559	0.1454291419
560	0.1454145438
561	0.1453648109
562	0.1453407248
563	0.1453129758
564	0.1452931496
565	0.1452838774
566	0.1452629609
567	0.145237331
568	0.1452152409
569	0.145190742
570	0.145158875
571	0.14510146
572	0.1450825526
573	0.1450682194
574	0.145058649
575	0.1450333801
576	0.1450173699
577	0.1450010998
578	0.144981939
579	0.1449502128
580	0.1449290961
581	0.1448856278
582	0.144854944
583	0.1448266855
584	0.1448016583
585	0.1447764679
586	0.1447576839
587	0.1447341896
588	0.1447153569
589	0.1446743479
590	0.1446483514
591	0.1446188916
592	0.1446021355
593	0.1445844777
594	0.1445531119
595	0.1445356847
596	0.1445043039
597	0.1444778565
598	0.1444595856
599	0.1444412179
600	0.1444068675
601	0.1443790053
602	0.1443532688
603	0.1443261394
604	0.1443015856
605	0.1442530684
606	0.1441978521
607	0.1441634563
608	0.1441153424
609	0.1440986626
610	0.1440733057
611	0.144061323
612	0.1440475256
613	0.14401622
614	0.1439905167
615	0.1439664071
616	0.143942141
617	0.1439248906
618	0.1438943651
619	0.1438745999
620	0.1438504842
621	0.1438290556
622	0.1438120595
623	0.1437879538
624	0.1437509974
625	0.1437229496
626	0.143689824
627	0.1436691415
628	0.1436349379
629	0.1435997966
630	0.143563077
631	0.1435323648
632	0.1435076817
633	0.1434733608
634	0.1434564118
635	0.1434281117
636	0.1434063629
637	0.1433898651
638	0.1433705605
639	0.1433303789
640	0.1433093929
641	0.1432906704
642	0.1432580463
643	0.1432310128
644	0.1432118086
645	0.1431801688
646	0.1431504339
647	0.1431336065
648	0.1431059929
649	0.143080927
650	0.1430683947
651	0.1430332663
652	0.1430038533
653	0.1429770163
654	0.1429501896
655	0.1429089643
656	0.1428775994
657	0.1428543863
658	0.1428320429
659	0.1428164934
660	0.1427830096
661	0.1427598133
662	0.1427252071
663	0.1426880284
664	0.1426650115
665	0.1426471397
666	0.1426133838
667	0.1425920967
668	0.1425541259
669	0.1425264159
670	0.1425023911
671	0.142486606
672	0.1424715489
673	0.1424549108
674	0.142433916
675	0.1424167568
676	0.1424059028
677	0.1423711241
678	0.1423536752
679	0.1423286242
680	0.1422952619
681	0.1422605293
682	0.1422305931
683	0.1422145067
684	0.1421992857
685	0.1421788704
686	0.1421554059
687	0.1421271072
