567730.37500000,7032412.50000000,165.67999300
567731.93750000,7032406.50000000,163.11000100
567724.25000000,7032411.00000000,163.11000100
567734.87500000,7032420.00000000,165.67999300
567728.81250000,7032418.50000000,163.11000100
567734.68750000,7032421.00000000,165.97000100
567735.12500000,7032420.50000000,165.67999300
567741.50000000,7032422.50000000,163.11000100
567718.43750000,7032425.00000000,163.11000100
567725.12500000,7032426.50000000,165.97000100
567723.43750000,7032433.00000000,163.11000100
