568832.18750000,7031745.50000000,113.65000200
568837.50000000,7031737.50000000,113.65000200
568836.18750000,7031748.00000000,111.57000000
568846.87500000,7031732.00000000,111.57000000
568842.81250000,7031729.50000000,113.65000200
568830.87500000,7031738.50000000,111.57000000
568828.18750000,7031742.50000000,111.57000000
568836.12500000,7031730.50000000,111.57000000
568838.81250000,7031726.50000000,111.57000000
568830.37500000,7031732.50000000,113.65000200
568827.75000000,7031736.50000000,111.57000000
568833.00000000,7031728.50000000,111.57000000
