566643.62500000,7025556.00000000,184.67999300
566646.81250000,7025553.00000000,183.02999900
566649.62500000,7025562.50000000,184.67999300
566655.81250000,7025563.00000000,183.02999900
566652.56250000,7025566.00000000,184.67999300
566643.75000000,7025562.50000000,183.02999900
566640.37500000,7025558.50000000,183.02999900
566649.06250000,7025568.50000000,183.02999900
566649.37500000,7025569.00000000,183.02999900
566638.81250000,7025572.00000000,184.67999300
566641.50000000,7025575.00000000,183.02999900
566636.18750000,7025569.00000000,183.02999900
