566243.62500000,7025921.00000000,196.09286500
566239.12500000,7025925.50000000,200.03070100
566234.06250000,7025911.50000000,196.09286500
566229.56250000,7025916.00000000,200.03070100
566234.31250000,7025929.50000000,195.83999600
566234.06250000,7025925.00000000,197.97999600
566234.62500000,7025930.00000000,195.83999600
566229.18750000,7025924.50000000,195.83999600
566225.06250000,7025920.50000000,195.83999600
566226.18750000,7025932.50000000,197.97999600
566223.62500000,7025930.00000000,195.83999600
566228.75000000,7025935.50000000,195.83999600
