572340.18750000,7032340.00000000,123.13999900
572336.31250000,7032342.50000000,127.82000000
572333.75000000,7032331.00000000,123.13999900
572329.93750000,7032333.50000000,127.82000000
572332.50000000,7032345.50000000,123.13999900
572332.56250000,7032341.50000000,125.38999900
572328.93750000,7032340.50000000,123.13999900
572326.06250000,7032336.50000000,123.13999900
572325.81250000,7032346.50000000,125.38999900
572327.62500000,7032349.00000000,123.13999900
572324.06250000,7032344.00000000,123.13999900
